problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/pick_clean_then_place_in_recep-Cloth-None-BathtubBasin-419/trial_T20190909_014042_055607,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o ClothType)\n\t\t(receptacleType ?r BathtubBasinType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar__minus_6_bar__minus_9_bar_2_bar_60 cloth__minus_6_dot_75099804_comma__minus_6_dot_75099804_comma__minus_11_dot_70847704_comma__minus_11_dot_70847704_comma_0_dot_25100708_comma_0_dot_25100708 bathtubbasin__minus_4_dot_908_comma__minus_4_dot_908_comma__minus_11_dot_96_comma__minus_11_dot_96_comma_0_dot_2095577716_comma_0_dot_2095577716)\n(RinseObject_0 sinkbasin__minus_8_dot_26635552_comma__minus_8_dot_26635552_comma__minus_8_dot_09293652_comma__minus_8_dot_09293652_comma_3_dot_17976_comma_3_dot_17976 agent1 loc_bar__minus_6_bar__minus_7_bar_3_bar_60 cloth__minus_6_dot_75099804_comma__minus_6_dot_75099804_comma__minus_11_dot_70847704_comma__minus_11_dot_70847704_comma_0_dot_25100708_comma_0_dot_25100708)\n(PutObjectInReceptacle agent1 loc_bar__minus_5_bar__minus_8_bar_2_bar_60 clothtype cloth__minus_6_dot_75099804_comma__minus_6_dot_75099804_comma__minus_11_dot_70847704_comma__minus_11_dot_70847704_comma_0_dot_25100708_comma_0_dot_25100708 bathtubbasin__minus_4_dot_908_comma__minus_4_dot_908_comma__minus_11_dot_96_comma__minus_11_dot_96_comma_0_dot_2095577716_comma_0_dot_2095577716)')",True,"PickupObjectInReceptacle, RinseObject_0, PutObjectInReceptacle","PickupObjectInReceptacle, RinseObject_0, PutObjectInReceptacle"
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-2/trial_T20190908_105707_315068,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(receptacleType ?r GarbageCanType)\n\t\t(inReceptacle ?o ?r)\n\t\t(heatable ?o)\n\t\t(isHot ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar__minus_3_bar_1_bar_1_bar_60 bread__minus_1_dot_282635332_comma__minus_1_dot_282635332_comma_1_dot_095598696_comma_1_dot_095598696_comma_4_dot_02471876_comma_4_dot_02471876 countertop__minus_0_dot_06_comma__minus_0_dot_06_comma_2_dot_024_comma_2_dot_024_comma_3_dot_8444_comma_3_dot_8444)\n(GoToObject_1 coffeemachine_5_dot_4219432_comma_5_dot_4219432_comma__minus_6_dot_38439272_comma__minus_6_dot_38439272_comma_3_dot_6_comma_3_dot_6 agent1 loc_bar_4_bar__minus_3_bar_2_bar_45 bread__minus_1_dot_282635332_comma__minus_1_dot_282635332_comma_1_dot_095598696_comma_1_dot_095598696_comma_4_dot_02471876_comma_4_dot_02471876)\n(PutObjectInReceptacle agent1 loc_bar__minus_5_bar_5_bar_3_bar_60 breadtype bread__minus_1_dot_282635332_comma__minus_1_dot_282635332_comma_1_dot_095598696_comma_1_dot_095598696_comma_4_dot_02471876_comma_4_dot_02471876 garbagecan__minus_7_dot_184_comma__minus_7_dot_184_comma_5_dot_32_comma_5_dot_32_comma_0_dot_0_comma_0_dot_0)')",False,"PickupObjectInReceptacle, GoToObject_1, PutObjectInReceptacle",PickupObjectInReceptacle
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PenType)\n\t\t(inReceptacle ?o ?r))))\n)', '')",False,,
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PenType)\n\t\t(receptacleType ?r ShelfType)\n\t\t(inReceptacle ?o ?r))))\n)', '(PickupObjectInReceptacle agent1 loc_bar__minus_4_bar__minus_4_bar_2_bar_45 pen__minus_3_dot_7420988_comma__minus_3_dot_7420988_comma__minus_6_dot_58185484_comma__minus_6_dot_58185484_comma_3_dot_374611376_comma_3_dot_374611376 desk__minus_3_dot_849575044_comma__minus_3_dot_849575044_comma__minus_8_dot_224_comma__minus_8_dot_224_comma__minus_0_dot_008_comma__minus_0_dot_008)\n(PutObjectInReceptacle agent1 loc_bar__minus_2_bar__minus_5_bar_2_bar_15 pentype pen__minus_3_dot_7420988_comma__minus_3_dot_7420988_comma__minus_6_dot_58185484_comma__minus_6_dot_58185484_comma_3_dot_374611376_comma_3_dot_374611376 shelf__minus_3_dot_757575036_comma__minus_3_dot_757575036_comma__minus_8_dot_4956_comma__minus_8_dot_4956_comma_5_dot_356_comma_5_dot_356)')",True,"PickupObjectInReceptacle, PutObjectInReceptacle","PickupObjectInReceptacle, PutObjectInReceptacle"
train/pick_and_place_simple-Cloth-None-SinkBasin-417/trial_T20190908_120422_949453,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o ClothType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r))))\n)', '(PickupObjectInReceptacle agent1 loc_bar__minus_9_bar__minus_4_bar_3_bar_60 cloth__minus_10_dot_676342_comma__minus_10_dot_676342_comma__minus_4_dot_03588628_comma__minus_4_dot_03588628_comma_0_dot_318291664_comma_0_dot_318291664 cabinet__minus_10_dot_01712704_comma__minus_10_dot_01712704_comma__minus_4_dot_95500852_comma__minus_4_dot_95500852_comma_1_dot_6016216_comma_1_dot_6016216)\n(PutObjectInReceptacle agent1 loc_bar__minus_9_bar__minus_2_bar_3_bar_60 clothtype cloth__minus_10_dot_676342_comma__minus_10_dot_676342_comma__minus_4_dot_03588628_comma__minus_4_dot_03588628_comma_0_dot_318291664_comma_0_dot_318291664 sinkbasin__minus_10_dot_9_comma__minus_10_dot_9_comma__minus_2_dot_9052_comma__minus_2_dot_9052_comma_3_dot_664399864_comma_3_dot_664399864)')",True,"PickupObjectInReceptacle, PutObjectInReceptacle","PickupObjectInReceptacle, PutObjectInReceptacle"
train/pick_and_place_simple-AppleSliced-None-Microwave-14/trial_T20190908_171151_027975,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(receptacleType ?r MicrowaveType)\n\t\t(inReceptacle ?o ?r)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar_4_bar_1_bar_0_bar_45 knife_6_dot_00633716_comma_6_dot_00633716_comma_3_dot_310571432_comma_3_dot_310571432_comma_3_dot_7721488_comma_3_dot_7721488 countertop_3_dot_956_comma_3_dot_956_comma_4_dot_068_comma_4_dot_068_comma_3_dot_7844_comma_3_dot_7844)\n(CutObject_0 knife_6_dot_00633716_comma_6_dot_00633716_comma_3_dot_310571432_comma_3_dot_310571432_comma_3_dot_7721488_comma_3_dot_7721488 agent1 loc_bar_7_bar_9_bar_2_bar_60 apple_7_dot_20150612_comma_7_dot_20150612_comma_6_dot_5446186_comma_6_dot_5446186_comma_0_dot_510050176_comma_0_dot_510050176)\n(PutObjectInReceptacle agent1 loc_bar_4_bar__minus_3_bar_1_bar_45 knifetype knife_6_dot_00633716_comma_6_dot_00633716_comma_3_dot_310571432_comma_3_dot_310571432_comma_3_dot_7721488_comma_3_dot_7721488 microwave_7_dot_008_comma_7_dot_008_comma__minus_3_dot_376_comma__minus_3_dot_376_comma_3_dot_600000144_comma_3_dot_600000144)\n(PickupObjectInReceptacle agent1 loc_bar_7_bar_9_bar_2_bar_60 apple_7_dot_20150612_comma_7_dot_20150612_comma_6_dot_5446186_comma_6_dot_5446186_comma_0_dot_510050176_comma_0_dot_510050176 garbagecan_7_dot_08_comma_7_dot_08_comma_6_dot_74_comma_6_dot_74_comma_0_dot_0_comma_0_dot_0)\n(PutObjectInReceptacle agent1 loc_bar_4_bar__minus_3_bar_1_bar_45 appletype apple_7_dot_20150612_comma_7_dot_20150612_comma_6_dot_5446186_comma_6_dot_5446186_comma_0_dot_510050176_comma_0_dot_510050176 microwave_7_dot_008_comma_7_dot_008_comma__minus_3_dot_376_comma__minus_3_dot_376_comma_3_dot_600000144_comma_3_dot_600000144)')",True,"PickupObjectInReceptacle, CutObject_0, PutObjectInReceptacle, PickupObjectInReceptacle, PutObjectInReceptacle","PickupObjectInReceptacle, CutObject_0, PutObjectInReceptacle, PickupObjectInReceptacle, PutObjectInReceptacle"
train/pick_cool_then_place_in_recep-Apple-None-Microwave-12/trial_T20190911_003046_688848,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(receptacleType ?r MicrowaveType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar_4_bar_11_bar_1_bar_60 apple_5_dot_82777024_comma_5_dot_82777024_comma_11_dot_38923264_comma_11_dot_38923264_comma_0_dot_477743984_comma_0_dot_477743984 garbagecan_5_dot_80777024_comma_5_dot_80777024_comma_11_dot_65005396_comma_11_dot_65005396_comma_0_dot_0_comma_0_dot_0)\n(PutObjectInReceptacle agent1 loc_bar_4_bar_6_bar_1_bar_15 appletype apple_5_dot_82777024_comma_5_dot_82777024_comma_11_dot_38923264_comma_11_dot_38923264_comma_0_dot_477743984_comma_0_dot_477743984 microwave_6_dot_528_comma_6_dot_528_comma_6_dot_584_comma_6_dot_584_comma_5_dot_92407848_comma_5_dot_92407848)\n(PickupObjectInReceptacle agent1 loc_bar__minus_1_bar_4_bar_3_bar_30 apple__minus_4_dot_83762_comma__minus_4_dot_83762_comma_3_dot_9947524_comma_3_dot_9947524_comma_3_dot_9485216_comma_3_dot_9485216 countertop__minus_3_dot_888_comma__minus_3_dot_888_comma_3_dot_684_comma_3_dot_684_comma_3_dot_8936_comma_3_dot_8936)\n(CoolObject_1 agent1 loc_bar_4_bar_6_bar_1_bar_15 apple_5_dot_82777024_comma_5_dot_82777024_comma_11_dot_38923264_comma_11_dot_38923264_comma_0_dot_477743984_comma_0_dot_477743984 apple__minus_4_dot_83762_comma__minus_4_dot_83762_comma_3_dot_9947524_comma_3_dot_9947524_comma_3_dot_9485216_comma_3_dot_9485216)')",False,"PickupObjectInReceptacle, PutObjectInReceptacle, PickupObjectInReceptacle, CoolObject_1","PickupObjectInReceptacle, PutObjectInReceptacle, PickupObjectInReceptacle"
train/pick_cool_then_place_in_recep-Apple-None-Microwave-12/trial_T20190911_003046_688848,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(receptacleType ?r MicrowaveType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar__minus_1_bar_4_bar_3_bar_30 apple__minus_4_dot_83762_comma__minus_4_dot_83762_comma_3_dot_9947524_comma_3_dot_9947524_comma_3_dot_9485216_comma_3_dot_9485216 countertop__minus_3_dot_888_comma__minus_3_dot_888_comma_3_dot_684_comma_3_dot_684_comma_3_dot_8936_comma_3_dot_8936)\n(ChillObject_0 fridge__minus_4_dot_004_comma__minus_4_dot_004_comma_0_dot_476_comma_0_dot_476_comma_0_dot_0_comma_0_dot_0 agent1 loc_bar__minus_1_bar_0_bar_3_bar_60 apple__minus_4_dot_83762_comma__minus_4_dot_83762_comma_3_dot_9947524_comma_3_dot_9947524_comma_3_dot_9485216_comma_3_dot_9485216)\n(PutObjectInReceptacle agent1 loc_bar_4_bar_6_bar_1_bar_15 appletype apple__minus_4_dot_83762_comma__minus_4_dot_83762_comma_3_dot_9947524_comma_3_dot_9947524_comma_3_dot_9485216_comma_3_dot_9485216 microwave_6_dot_528_comma_6_dot_528_comma_6_dot_584_comma_6_dot_584_comma_5_dot_92407848_comma_5_dot_92407848)')",False,"PickupObjectInReceptacle, ChillObject_0, PutObjectInReceptacle","PickupObjectInReceptacle, ChillObject_0"
train/pick_cool_then_place_in_recep-Mug-None-Cabinet-22/trial_T20190908_144232_130522,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o MugType)\n\t\t(receptacleType ?r CabinetType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar_1_bar__minus_2_bar_2_bar_0 mug_1_dot_490400196_comma_1_dot_490400196_comma__minus_5_dot_41439916_comma__minus_5_dot_41439916_comma_6_dot_61618996_comma_6_dot_61618996 cabinet_0_dot_940000056_comma_0_dot_940000056_comma__minus_4_dot_79_comma__minus_4_dot_79_comma_8_dot_04_comma_8_dot_04)\n(ChillObject_0 fridge__minus_11_dot_424_comma__minus_11_dot_424_comma_3_dot_408_comma_3_dot_408_comma_0_dot_0_comma_0_dot_0 agent1 loc_bar__minus_8_bar_4_bar_3_bar_60 mug_1_dot_490400196_comma_1_dot_490400196_comma__minus_5_dot_41439916_comma__minus_5_dot_41439916_comma_6_dot_61618996_comma_6_dot_61618996)\n(PutObjectInReceptacle agent1 loc_bar_0_bar__minus_2_bar_2_bar__minus_30 mugtype mug_1_dot_490400196_comma_1_dot_490400196_comma__minus_5_dot_41439916_comma__minus_5_dot_41439916_comma_6_dot_61618996_comma_6_dot_61618996 cabinet_0_dot_659999968_comma_0_dot_659999968_comma__minus_4_dot_79_comma__minus_4_dot_79_comma_8_dot_04_comma_8_dot_04)')",True,"PickupObjectInReceptacle, ChillObject_0, PutObjectInReceptacle","PickupObjectInReceptacle, ChillObject_0, PutObjectInReceptacle"
train/pick_heat_then_place_in_recep-PotatoSliced-None-SinkBasin-1/trial_T20190909_120859_255584,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotatoType)\n\t\t(receptacleType ?r SinkBasinType)\n\t\t(inReceptacle ?o ?r)\n\t\t(heatable ?o)\n\t\t(isHot ?o)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar_0_bar__minus_5_bar_0_bar_45 knife__minus_0_dot_2363972664_comma__minus_0_dot_2363972664_comma__minus_3_dot_0372876_comma__minus_3_dot_0372876_comma_4_dot_54779864_comma_4_dot_54779864 countertop__minus_0_dot_316_comma__minus_0_dot_316_comma__minus_0_dot_004_comma__minus_0_dot_004_comma_4_dot_5884_comma_4_dot_5884)\n(CutObject_0 knife__minus_0_dot_2363972664_comma__minus_0_dot_2363972664_comma__minus_3_dot_0372876_comma__minus_3_dot_0372876_comma_4_dot_54779864_comma_4_dot_54779864 agent1 loc_bar__minus_5_bar__minus_6_bar_3_bar_45 potato__minus_7_dot_85352_comma__minus_7_dot_85352_comma__minus_6_dot_35032512_comma__minus_6_dot_35032512_comma_3_dot_20096612_comma_3_dot_20096612)\n(PutObjectInReceptacle agent1 loc_bar__minus_2_bar__minus_7_bar_2_bar_0 knifetype knife__minus_0_dot_2363972664_comma__minus_0_dot_2363972664_comma__minus_3_dot_0372876_comma__minus_3_dot_0372876_comma_4_dot_54779864_comma_4_dot_54779864 microwave__minus_0_dot_948_comma__minus_0_dot_948_comma__minus_10_dot_1004_comma__minus_10_dot_1004_comma_6_dot_756_comma_6_dot_756)\n(PickupObjectInReceptacle agent1 loc_bar__minus_5_bar__minus_6_bar_3_bar_45 potato__minus_7_dot_85352_comma__minus_7_dot_85352_comma__minus_6_dot_35032512_comma__minus_6_dot_35032512_comma_3_dot_20096612_comma_3_dot_20096612 sinkbasin__minus_7_dot_6324_comma__minus_7_dot_6324_comma__minus_5_dot_9552_comma__minus_5_dot_9552_comma_3_dot_0368_comma_3_dot_0368)\n(HeatObject_1 microwave__minus_0_dot_948_comma__minus_0_dot_948_comma__minus_10_dot_1004_comma__minus_10_dot_1004_comma_6_dot_756_comma_6_dot_756 agent1 loc_bar__minus_2_bar__minus_7_bar_2_bar_0 potato__minus_7_dot_85352_comma__minus_7_dot_85352_comma__minus_6_dot_35032512_comma__minus_6_dot_35032512_comma_3_dot_20096612_comma_3_dot_20096612)\n(PutObjectInReceptacle agent1 loc_bar__minus_5_bar__minus_6_bar_3_bar_60 potatotype potato__minus_7_dot_85352_comma__minus_7_dot_85352_comma__minus_6_dot_35032512_comma__minus_6_dot_35032512_comma_3_dot_20096612_comma_3_dot_20096612 sinkbasin__minus_7_dot_6324_comma__minus_7_dot_6324_comma__minus_5_dot_9552_comma__minus_5_dot_9552_comma_3_dot_0368_comma_3_dot_0368)')",False,"PickupObjectInReceptacle, CutObject_0, PutObjectInReceptacle, PickupObjectInReceptacle, HeatObject_1, PutObjectInReceptacle","PickupObjectInReceptacle, CutObject_0, PutObjectInReceptacle, PickupObjectInReceptacle, HeatObject_1, PutObjectInReceptacle"
