problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o ClothType)\n                (holds ?a ?o)\n            )\n    ))))))', '(CheckForToggledLamp_0 env_state env floorlamp)\n(FindAndPositionTowel_0 env_state env towel floorlamp)\n(ExamineTowel_0 env_state env towel floorlamp)')",False,"CheckForToggledLamp_0, FindAndPositionTowel_0, ExamineTowel_0",
train/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-20/trial_T20190906_161428_039508,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CoffeeMachineType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_978 env_state env mug)\n(CoolObject_150 env_state env mug fridge)\n(PutObjectInReceptacle_459 env_state env mug coffeemachine)')",False,"PickupObject_978, CoolObject_150, PutObjectInReceptacle_459",PickupObject_978
train/look_at_obj_in_light-TissueBox-None-FloorLamp-225/trial_T20190907_150815_536818,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o TissueBoxType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOn_191 env_state env desklamp)')",False,ToggleObjectOn_191,
train/pick_cool_then_place_in_recep-WineBottle-None-GarbageCan-16/trial_T20190907_015045_510934,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WineBottleType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_162 env_state env waterbottle)\n(CoolObject_108 env_state env waterbottle fridge)\n(CloseObject_2 env_state env fridge)\n(ThrowInTrashCan_0 env_state env glassbottle garbagecan front_left)')",False,"PickupObject_162, CoolObject_108, CloseObject_2, ThrowInTrashCan_0",
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_988 env_state env pencil)\n(PutObjectInReceptacle_141 env_state env pencil shelf)')",True,"PickupObject_988, PutObjectInReceptacle_141","PickupObject_988, PutObjectInReceptacle_141"
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-6/trial_T20190908_034437_632398,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(OpenObject_38 env_state env microwave)\n(PickupObject_1050 env_state env mug)\n(CloseObject_9 env_state env microwave)\n(PutObjectInReceptacle_379 env_state env mug cabinet)')",False,"OpenObject_38, PickupObject_1050, CloseObject_9, PutObjectInReceptacle_379",
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105523_799331,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_79 env_state env knife)\n(PutObjectInReceptacle_322 env_state env knife fridge)\n(SliceObject_217 env_state env apple)')",False,"PickupObject_79, PutObjectInReceptacle_322, SliceObject_217","PickupObject_79, PutObjectInReceptacle_322"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_992 env_state env apple)\n(SliceObject_132 env_state env apple)\n(OpenObject_47 env_state env fridge)\n(PutObjectInReceptacle_59 env_state env apple fridge)')",False,"PickupObject_992, SliceObject_132, OpenObject_47, PutObjectInReceptacle_59",PickupObject_992
train/pick_cool_then_place_in_recep-Potato-None-SinkBasin-24/trial_T20190909_052222_333703,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_418 env_state env potato)\n(CoolObject_111 env_state env potato fridge)\n(PickupObjectFromReceptacle_11 env_state env potato fridge)\n(PutObjectInReceptacle_722 env_state env potato sink)')",False,"PickupObject_418, CoolObject_111, PickupObjectFromReceptacle_11, PutObjectInReceptacle_722","PickupObject_418, CoolObject_111, PickupObjectFromReceptacle_11"
train/look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o MugType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOn_13 env_state env floorlamp)\n(PickupObject_90 env_state env mug)')",False,"ToggleObjectOn_13, PickupObject_90",
