problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-Shelf\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-ShelfType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PencilType)
		(receptacleType ?r ShelfType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-Shelf\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-ShelfType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PenType)
		(receptacleType ?r ShelfType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-Shelf\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-ShelfType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PencilType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-Shelf\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-ShelfType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-Pencil-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PencilType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""move a pencil to the desk shelf.""\n;; Official goal name: pick_and_place_simple-PenType-None-SideTableType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PenType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Glassbottle-None-Fridge-16/trial_T20190908_045933_322597,put a vase in a fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o GlassbottleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-Glassbottle-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o GlassbottleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-VaseType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o VaseType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-BowlType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BowlType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-StatueType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o StatueType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o StatueType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Glassbottle-None-Fridge-16/trial_T20190908_045933_322597,put a vase in a fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o GlassbottleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-Glassbottle-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o GlassbottleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-VaseType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o VaseType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-BowlType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BowlType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-StatueType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o StatueType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o GlassbottleType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Glassbottle-None-Fridge-16/trial_T20190908_045933_322597,put a vase in a fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o GlassbottleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-Glassbottle-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o GlassbottleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-VaseType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o VaseType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-BowlType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BowlType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-StatueType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o StatueType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BowlType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-Glassbottle-None-Fridge-16/trial_T20190908_045933_322597,put a vase in a fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o GlassbottleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-Glassbottle-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o GlassbottleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-VaseType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o VaseType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-BowlType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BowlType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a vase in a fridge.""\n;; Official goal name: pick_and_place_simple-StatueType-None-FridgeType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o StatueType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o VaseType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190917_905379,place a spray bottle on top of a toilet cistern.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o SprayBottleType) 
                (receptacleType ?r ToiletType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-Toilet\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r ToiletType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 2 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 3 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-ShowerDoorType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r ShowerDoorType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 4 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-ShowerGlassType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r ShowerGlassType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o SprayBottleType)
		(receptacleType ?r ToiletType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190917_905379,place a spray bottle on top of a toilet cistern.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o SprayBottleType) 
                (receptacleType ?r ToiletType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-Toilet\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r ToiletType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 2 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 3 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-ShowerDoorType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r ShowerDoorType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n"", ""\n;; PDDL guess 4 for 'place a spray bottle on top of a toilet cistern.'\n;; Official goal name: pick_and_place_simple-SprayBottle-None-ShowerGlassType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r ShowerGlassType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o SprayBottleType)
		(receptacleType ?r BathtubBasinType)
		(inReceptacle ?o ?r))))
)",True
