operator_name,gt_operator,operator_body,n_operator_successes,n_operator_attempts,score,
PickupObject_702,,"
    # Preconditions: None.

    # Low-level actions: pick up the object.
    try:
        action = PickupObject(args={'object_id':object_id})
        success = act(env=env, action=action)
        print(""Successfully picked up the apple!"")
    except:
        print(""Execution failure..."")
        return False

    # Postconditions: holding the apple.
    final_env_state = perceive(env)
    return (final_env_state.holds(object_id)), final_env_state
",2.05,2.5,0.82,
PickupObject_74,,"
    # Preconditions: None.

    # Low-level actions: pick up the object.
    try:
        action = PickupObject(args={'object_id':object_id})
        success = act(env=env, action=action)
        print(""Successfully picked up an apple!"")
    except:
        print(""Execution failure..."")
        return False

    # Postconditions: holding the apple.
    final_env_state = perceive(env)
    return (final_env_state.holds(object_id)), final_env_state
",2.05,2.5,0.82,
PickupObject_978,,"
    # Preconditions: None.

    # Low-level actions: pick up the object.
    try:
        action = PickupObject(args={'object_id':object_id})
        success = act(env=env, action=action)
        print(""Successfully picked up the mug!"")
    except:
        print(""Execution failure..."")
        return False

    # Postconditions: holding the object.
    final_env_state = perceive(env)
    return (final_env_state.holds(object_id)), final_env_state
",1.05,1.5,0.7000000000000001,
PickupObject_988,,"
    # Preconditions: None.

    # Low-level actions: pick up the object.
    try:
        action = PickupObject(args={'object_id':object_id})
        success = act(env=env, action=action)
        print(""Successfully picked up the pencil!"")
    except:
        print(""Execution failure..."")
        return False

    # Postconditions: holding the object.
    final_env_state = perceive(env)
    return (final_env_state.holds(object_id)), final_env_state
",1.05,1.5,0.7000000000000001,
PutObjectInReceptacle_141,"(:action PutObjectInReceptacle
        :parameters (?a - agent ?l - location ?ot - otype ?o - object ?r - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (objectType ?o ?ot)
            (holds ?a ?o)
            (not (holdsAnyReceptacleObject ?a))
        )
        :effect (and
            (inReceptacle ?o ?r)
            (not (holds ?a ?o))
            (not (holdsAny ?a))
            (objectAtLocation ?o ?l)
        )
    )","
    # Preconditions: we should be holding the object.
    if (not env_state.holds(object_id)):
        print(""Failure, not holding the pencil."")
        return False, env_state

    # Low-level actions: put the object on the shelf.
    try:
        print(""Trying to put the pencil on the shelf."")
        action = PutObject(args={'object_id':object_id, 'receptacle_object_id':receptacle_object_id})
        success = act(env=env, action=action)
        print(f""Result of PutObject is: {success}"")
    except:
        print(""Failure, could not place the pencil on the shelf."")
        return False, env_state

    # Postconditions: not holding the object and the object is on the shelf.
    final_env_state = perceive(env)
    if (not final_env_state.holds(object_id)) and (final_env_state.inReceptacle(object_id, receptacle_object_id)):
        return True, final_env_state
",1.05,1.5,0.7000000000000001,
PickupObject_79,,"
    # Preconditions: None.

    # Low-level actions: pick up the knife.
    try:
        action = PickupObject(args={'object_id':object_id})
        success = act(env=env, action=action)
        print(""Successfully picked up the knife!"")
    except:
        print(""Execution failure in picking up the knife..."")
        return False

    # Postconditions: holding the knife.
    final_env_state = perceive(env)
    return (final_env_state.holds(object_id)), final_env_state
",1.05,1.5,0.7000000000000001,
PutObjectInReceptacle_322,"(:action PutObjectInReceptacle
        :parameters (?a - agent ?l - location ?ot - otype ?o - object ?r - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (objectType ?o ?ot)
            (holds ?a ?o)
            (not (holdsAnyReceptacleObject ?a))
        )
        :effect (and
            (inReceptacle ?o ?r)
            (not (holds ?a ?o))
            (not (holdsAny ?a))
            (objectAtLocation ?o ?l)
        )
    )","
    # Preconditions: holding the knife.
    if (not env_state.holds(object_id)):
        print(""Failure, not holding the knife."")
        return False, env_state

    # Low-level actions: Open fridge (receptacle) before putting the knife in it.
    try:
        action = OpenObject(args={'object_id':receptacle_object_id})
        success = act(env=env, action=action)
        print(""Fridge opened successfully."")
    except:
        print(""Execution failure in opening the fridge..."")
        return False, env_state

    # Low-level actions: put the knife in the fridge.
    try:
        action = PutObject(args={'object_id':object_id, 'receptacle_object_id':receptacle_object_id})
        success = act(env=env, action=action)
        print(""Knife placed in the fridge successfully."")
    except:
        print(""Failure, could not place the knife in the fridge."")
        return False, env_state

    # Postconditions: Knife is in the fridge.
    final_env_state = perceive(env)
    return (final_env_state.inReceptacle(object_id, receptacle_object_id)), final_env_state
",1.05,1.5,0.7000000000000001,
PickupObject_992,,"
    # Preconditions: None.

    # Low-level actions: pick up the object.
    try:
        action = PickupObject(args={'object_id':object_id})
        success = act(env=env, action=action)
        print(""Successfully picked up the apple!"")
    except:
        print(""Execution failure..."")
        return False

    # Postconditions: holding the apple.
    final_env_state = perceive(env)
    return (final_env_state.holds(object_id)), final_env_state
",1.05,1.5,0.7000000000000001,
PickupObject_418,,"
    # Preconditions: None.

    # Low-level actions: pick up the object.
    try:
        action = PickupObject(args={'object_id':object_id})
        success = act(env=env, action=action)
        print(""Successfully picked up the potato!"")
    except:
        print(""Execution failure..."")
        return False

    # Postconditions: holding the potato.
    final_env_state = perceive(env)
    return (final_env_state.holds(object_id)), final_env_state
",1.05,1.5,0.7000000000000001,
CoolObject_111,"(:action CoolObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )","
    # Preconditions: the potato should be held by the robot.
    if (not env_state.holds(object_id)):
        print(""Failure, not holding the potato."")
        return False, env_state

    # Low-level actions: open the fridge to put the potato inside.
    try:
        action = OpenObject(args={'object_id':receptacle_object_id})
        success = act(env=env, action=action)
        print(""Successfully opened the fridge!"")
    except:
        print(""Execution failure, could not open the fridge..."")
        return False, env_state
    
    # Low-level actions: put the potato in the fridge to cool it.
    try:
        print(""Putting the potato in the fridge to cool."")
        action = PutObject(args={'object_id':object_id, 'receptacle_object_id':receptacle_object_id})
        success = act(env=env, action=action)
        print(""Result of PutObject (cooling potato) is: {success}"")
    except:
        print(""Failure, could not put the potato in the fridge."")
        return False, env_state

    # Low-level actions: close the fridge after putting the potato inside.
    try:
        action = CloseObject(args={'object_id':receptacle_object_id})
        success = act(env=env, action=action)
        print(f""Result of CloseObject (fridge) is: {success}"")
    except:
        print(""Execution failure, could not close the fridge..."")
        return False

    # Postconditions: potato should be in the fridge and cool.
    final_env_state = perceive(env)
    return (final_env_state.inReceptacle(object_id, receptacle_object_id) and final_env_state.isCool(object_id)), final_env_state
",1.05,1.5,0.7000000000000001,
