problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train/pick_clean_then_place_in_recep-Cloth-None-BathtubBasin-419/trial_T20190909_014042_055607,place a rinsed towel inside a tub.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ClothType) 
                (receptacleType ?r BathtubBasinType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))","['\n;; PDDL guess 1 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathroomSink\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathroomSinkType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o ClothType)
		(receptacleType ?r BathtubBasinType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True
train/pick_clean_then_place_in_recep-Cloth-None-BathtubBasin-419/trial_T20190909_014042_055607,place a rinsed towel inside a tub.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ClothType) 
                (receptacleType ?r BathtubBasinType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))","['\n;; PDDL guess 1 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathroomSink\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathroomSinkType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TowelType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True
train/pick_clean_then_place_in_recep-Cloth-None-BathtubBasin-419/trial_T20190909_014042_055607,place a rinsed towel inside a tub.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ClothType) 
                (receptacleType ?r BathtubBasinType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))","['\n;; PDDL guess 1 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathroomSink\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathroomSinkType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TowelType)
		(receptacleType ?r BathtubBasinType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True
train/pick_clean_then_place_in_recep-Cloth-None-BathtubBasin-419/trial_T20190909_014042_055607,place a rinsed towel inside a tub.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ClothType) 
                (receptacleType ?r BathtubBasinType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))","['\n;; PDDL guess 1 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubBasin\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubBasinType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Towel-None-BathtubType\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TowelType) \n                (receptacleType ?r BathtubType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""place a rinsed towel inside a tub.""\n;; Official goal name: pick_clean_then_place_in_recep-Cloth-None-BathroomSink\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClothType) \n                (receptacleType ?r BathroomSinkType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o ClothType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-2/trial_T20190908_105707_315068,put a heated slice of bread in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","['\n;; PDDL guess 1 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BaguetteSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BaguetteType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-Toast-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ToastType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BunSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BunType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(receptacleType ?r GarbageCanType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o)
		(sliceable ?o)
		(isSliced ?o))))
)",True
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-2/trial_T20190908_105707_315068,put a heated slice of bread in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","['\n;; PDDL guess 1 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BaguetteSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BaguetteType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-Toast-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ToastType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BunSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BunType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BreadType)
		(receptacleType ?r GarbageCanType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o)
		(sliceable ?o)
		(isSliced ?o))))
)",True
train/pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan-2/trial_T20190908_105707_315068,put a heated slice of bread in the trash can.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","['\n;; PDDL guess 1 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BreadSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BaguetteSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BaguetteType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-Toast-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ToastType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a heated slice of bread in the trash can.""\n;; Official goal name: pick_heat_then_place_in_recep-BunSliced-None-GarbageCan\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BunType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(receptacleType ?r GarbageCanType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",True
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,examine a towel with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o ClothType)
                (holds ?a ?o)
            )
    ))))))","[""\n;; PDDL guess 1 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Cloth-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o ClothType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 2 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Towel-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o TowelType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 3 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Cloth-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o ClothType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 4 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Towel-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o TowelType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o ClothType)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-Cloth-None-DeskLamp-303/trial_T20190908_131610_591705,examine a towel with a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o ClothType)
                (holds ?a ?o)
            )
    ))))))","[""\n;; PDDL guess 1 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Cloth-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o ClothType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 2 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Towel-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o TowelType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 3 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Cloth-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o ClothType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n"", ""\n;; PDDL guess 4 for 'examine a towel with a lamp.'\n;; Simplified Goal: \nlook_at_obj_in_light-Towel-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o TowelType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o TowelType)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-Statue-None-DeskLamp-218/trial_T20190909_085327_810149,examine the figurine by the light.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o StatueType)
                (holds ?a ?o)
            )
    ))))))","[""\n;; PDDL guess 1 for 'examine the figurine by the light.'\n;; Simplified Goal: \nlook_at_obj_in_light-Statue-None-DeskLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 2 for 'examine the figurine by the light.'\n;; Simplified Goal: \nlook_at_obj_in_light-Statue-None-TableLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot TableLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 3 for 'examine the figurine by the light.'\n;; Simplified Goal: \nlook_at_obj_in_light-Statue-None-FloorLamp\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))\n"", ""\n;; PDDL guess 4 for 'examine the figurine by the light.'\n;; Simplified Goal: \nlook_at_obj_in_light-Statue-None-Shelf\n\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot ShelfType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o StatueType)
		(holds ?a ?o))))))
)",True
